"","Strain","Replicate","Phylum","Family","Genus","Run","TI_norm_MBOA","TI_norm_AMPO","TI_norm_APO","TI_norm_BOA","TI_norm_DMG"
"56","LMB2","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.613057693166825,0.669637947321905,0.976321785730363,0.639389397121194,1.038904536082
"57","LMB2","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.69137609124547,0.889497042234385,0.869038725547087,0.641366507977094,NA
"58","LMB2","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.60727837794008,0.753401046491545,0.977718603745729,0.700907006200806,1.01934942090074
"59","LMC1","1","Proteobacteria","Erwiniaceae","Pantoea","R1",0.545979806868542,0.977824702560387,1.0190428064361,0.755798320784535,NA
"60","LMC1","1","Proteobacteria","Erwiniaceae","Pantoea","R2",0.555627907082654,1.10692316948353,1.00202924178,0.767252343902742,0.926926929670346
"61","LMC1","2","Proteobacteria","Erwiniaceae","Pantoea","R1",0.585633755525165,0.98796037616456,1.00228878446131,0.777543703064365,NA
"62","LMC1","2","Proteobacteria","Erwiniaceae","Pantoea","R2",0.642304437109977,1.10765147943126,1.03910786483125,0.745164182618686,0.909649205200762
"63","LMC1","3","Proteobacteria","Erwiniaceae","Pantoea","R1",0.581030730838617,0.97992488710836,0.955026093791932,0.767730574188543,NA
"64","LMC1","3","Proteobacteria","Erwiniaceae","Pantoea","R2",0.572282352029717,1.05656691097957,0.918948022205393,0.74726006524293,0.907407280568858
"65","LMC3","1","Proteobacteria","Sphingomonadaceae","Sphingobium","R1",0.291769796197188,0.726438263668375,0.654552660921941,0.60503929456283,NA
"66","LMC3","1","Proteobacteria","Sphingomonadaceae","Sphingobium","R2",0.348571773531026,0.688488590079243,1.21587314312537,0.508713556136598,1.07161332092554
"67","LMC3","2","Proteobacteria","Sphingomonadaceae","Sphingobium","R1",0.309172588378976,0.761056593358269,0.490768936954571,0.393611280810765,NA
"68","LMC3","2","Proteobacteria","Sphingomonadaceae","Sphingobium","R2",0.315625484713802,0.70001936066611,2.0471348503065,0.469413736261756,0.988867021200504
"69","LMC3","3","Proteobacteria","Sphingomonadaceae","Sphingobium","R1",0.349010132099754,0.711008467914483,0.605674622605732,0.402039130626428,NA
"70","LMC3","3","Proteobacteria","Sphingomonadaceae","Sphingobium","R2",0.428437903047248,0.934225638327485,1.24727099914742,0.456891332927783,1.06849347192059
"71","LMD1","1","Actinobacteria","Micrococcaceae","Pseudarthrobacter","R1",0.533897976904579,0.764762076990689,0.850120373529955,0.853144070653561,NA
"72","LMD1","1","Actinobacteria","Micrococcaceae","Pseudarthrobacter","R2",0.498856042916941,0.890997386416655,1.20632253284154,0.797378563461414,0.904090924821194
"73","LMD1","2","Actinobacteria","Micrococcaceae","Pseudarthrobacter","R1",0.567609773065954,0.765670750766175,0.882991090223047,0.826172476862916,NA
"74","LMD1","2","Actinobacteria","Micrococcaceae","Pseudarthrobacter","R2",0.48832755461579,0.780031451218633,1.36923075299931,0.758954040808781,0.924543786298013
"75","LMD1","3","Actinobacteria","Micrococcaceae","Pseudarthrobacter","R1",0.568642312900352,0.777262601541634,0.848410662765448,0.842145912791467,NA
"76","LMD1","3","Actinobacteria","Micrococcaceae","Pseudarthrobacter","R2",0.485670566917618,0.769872001412461,1.36204231201273,0.743231860815189,0.973608313066538
"77","LME1","1","Firmicutes","Bacillaceae","Bacillus","R1",0.756494112928259,0.909891973450612,0.605008368231425,0.811795020247485,NA
"78","LME1","1","Firmicutes","Bacillaceae","Bacillus","R2",0.699128296334363,0.754203753802893,0.707079025363256,0.842127325665878,0.444530271367873
"79","LME1","2","Firmicutes","Bacillaceae","Bacillus","R1",0.787647491504505,0.899197879130135,0.523939728456616,0.782130947750055,NA
"80","LME1","2","Firmicutes","Bacillaceae","Bacillus","R2",0.707976572260443,0.791187424070818,0.677250579010965,1140.67189854129,NA
"81","LME1","3","Firmicutes","Bacillaceae","Bacillus","R1",0.827316543969975,0.788447932066043,0.547619726023755,0.818169801917715,NA
"82","LME1","3","Firmicutes","Bacillaceae","Bacillus","R2",0.704019259265468,0.819762376799431,0.914384087130263,0.93007413772766,0.876457560574469
"83","LME2","1","Firmicutes","Bacillaceae","Bacillus","R1",0.542155800959855,0.846809798588388,0.537551929910813,0.991102720258011,NA
"84","LME2","1","Firmicutes","Bacillaceae","Bacillus","R2",0.847134826160105,0.861922664657194,0.881136954043918,0.795353946276539,0.643767135468162
"85","LME2","2","Firmicutes","Bacillaceae","Bacillus","R1",0.801347236028945,0.802647401134366,0.494980596451914,0.977416323449487,NA
"86","LME2","2","Firmicutes","Bacillaceae","Bacillus","R2",0.859486462585548,0.880647718234175,0.393644102475369,0.832702638419254,0.630136898187322
"87","LME2","3","Firmicutes","Bacillaceae","Bacillus","R1",0.844105730868251,0.880263068586509,0.474466689774096,0.938319557231857,NA
