"","Plate.ID","qPCR.DNA.ID","Sample.ID","Location","Background","Genotype","Compartment","Replicate","Field_ID","Well","qPCR.Method","LinRegPCR","qPCR.Replicate","indiv.PCR.eff.ZmActin1A","R2.ZmActin1A","threshold.ZmActin1A","Cq.ZmActin1A","indiv.PCR.eff.ZmActin1B","R2.ZmActin1B","threshold.ZmActin1B","Cq.ZmActin1B","indiv.PCR.eff.799F904R","R2.799F904R","threshold.799F904R","Cq.799F904R","Mean.PCR.eff.799F904R","RB"
"32","C302SOLT","C302SOLT_Aurora_W22_WT_root_NA_NA_1","Aurora_W22_WT_root_NA_NA","Aurora","W22","WT","root",NA,NA,"C23","HOT FIREPOL","Multi per target",1,1.84340002660766,0.999701628548752,0.382,29.954292858458,1.85845124811445,0.999894452606723,0.4285,26.6533820278174,1,0,0.0405,0,1.41174202394875,224097271.373802
"33","C302SOLT","C302SOLT_Changins_B73_bx1_root_1_11_1","Changins_B73_bx1_root_1_11","Changins","B73","bx1","root",1,11,"C9","HOT FIREPOL","Multi per target",1,1.91484337073547,0.999838995434806,0.382,26.8343538856363,1.92046753509356,0.999501628662643,0.4285,25.4424309975578,1.53743588407783,0.987687164190345,0.0405,26.6833758356108,1.41174202394875,3052.84620985674
"34","C302SOLT","C302SOLT_Changins_B73_bx1_root_2_27_1","Changins_B73_bx1_root_2_27","Changins","B73","bx1","root",2,27,"G9","HOT FIREPOL","Multi per target",1,1.92615839433473,0.999658129497948,0.382,26.4045433988425,1.86492122512815,0.999817577951869,0.4285,25.089645503553,1.82825824059257,0.999225320572291,0.0405,27.598224800934,1.41174202394875,1689.98174276312
"35","C302SOLT","C302SOLT_Changins_B73_bx1_root_3_51_1","Changins_B73_bx1_root_3_51","Changins","B73","bx1","root",3,51,"O7","HOT FIREPOL","Multi per target",1,1.94909551745957,0.998205168353938,0.382,26.9720193771599,1.94113823499818,0.999780841082981,0.4285,25.4560962823266,1.91444529083374,0.996817436410805,0.0405,28.2100955077043,1.41174202394875,1969.91672844192
"36","C302SOLT","C302SOLT_Changins_B73_bx1_root_4_65_1","Changins_B73_bx1_root_4_65","Changins","B73","bx1","root",4,65,"M7","HOT FIREPOL","Multi per target",1,1.89387099789763,0.998434642081973,0.382,26.9288557914812,1.87904996689515,0.999897319667712,0.4285,25.5038247209016,1,0,0.0405,0,1.41174202394875,32138645.1172123
"37","C302SOLT","C302SOLT_Changins_B73_bx1_root_5_70_1","Changins_B73_bx1_root_5_70","Changins","B73","bx1","root",5,70,"A11","HOT FIREPOL","Multi per target",1,1.88367226021489,0.999608534499078,0.382,27.0270083471432,1.90614120719469,0.999621186294981,0.4285,25.4726437052435,1.99115015531671,0.989517167726113,0.0405,24.3937528265957,1.41174202394875,7608.42902101765
"38","C302SOLT","C302SOLT_Changins_B73_bx1_root_6_100_1","Changins_B73_bx1_root_6_100","Changins","B73","bx1","root",6,100,"I7","HOT FIREPOL","Multi per target",1,1.88416019395083,0.999841421582353,0.382,26.9273502630132,1.90612533784456,0.999153064233069,0.4285,25.7627406193834,1.77818209698636,0.995584262491856,0.0405,26.1713320737452,1.41174202394875,3866.43807821094
"39","C302SOLT","C302SOLT_Changins_B73_bx1_root_7_212_1","Changins_B73_bx1_root_7_212","Changins","B73","bx1","root",7,212,"O9","HOT FIREPOL","Multi per target",1,1.94493476698028,0.99615975382685,0.382,27.3234297504293,1.98085630312635,0.99860883522642,0.4285,25.6781813924765,1.66952075851319,0.971988904546231,0.0405,24.2234904947748,1.41174202394875,9759.484018065
"40","C302SOLT","C302SOLT_Changins_B73_WT_root_1_18_1","Changins_B73_WT_root_1_18","Changins","B73","WT","root",1,18,"C11","HOT FIREPOL","Multi per target",1,1.9171117370947,0.998382083208524,0.382,26.5948394199891,1.90155919571136,0.999358353144752,0.4285,25.0843720464566,1.69439176002403,0.999625647546978,0.0405,28.2179653124447,1.41174202394875,1542.1331739948
"41","C302SOLT","C302SOLT_Changins_B73_WT_root_10_268_1","Changins_B73_WT_root_10_268","Changins","B73","WT","root",10,268,"I9","HOT FIREPOL","Multi per target",1,1.85751627285919,0.999811792526168,0.382,26.9013743601018,1.90451461473904,0.999431788341115,0.4285,25.5355954611703,1.73177950691225,0.972989632463416,0.0405,27.0708309639822,1.41174202394875,2788.46324414649
"42","C302SOLT","C302SOLT_Changins_B73_WT_root_2_20_1","Changins_B73_WT_root_2_20","Changins","B73","WT","root",2,20,"I11","HOT FIREPOL","Multi per target",1,1.87579526241584,0.999921647324959,0.382,26.4419493229405,1.91932552812705,0.99971483603877,0.4285,25.3877592178593,1.74832089653332,0.993467121606595,0.0405,27.7092196154132,1.41174202394875,1666.04870624896
"43","C302SOLT","C302SOLT_Changins_B73_WT_root_3_48_1","Changins_B73_WT_root_3_48","Changins","B73","WT","root",3,48,"M9","HOT FIREPOL","Multi per target",1,1.95256186121506,0.999877802222833,0.382,26.4346343428837,1.87546910867361,0.999919834092066,0.4285,25.2241170694315,1.63394413826394,0.992422230764292,0.0405,28.4781966518028,1.41174202394875,1272.00863028009
"44","C302SOLT","C302SOLT_Changins_B73_WT_root_4_64_1","Changins_B73_WT_root_4_64","Changins","B73","WT","root",4,64,"K9","HOT FIREPOL","Multi per target",1,1.97769932828574,0.998364411145147,0.382,26.7648277729564,1.89967707563683,0.999073615796828,0.4285,25.3252494621233,1.83469437475841,0.993591859460974,0.0405,26.3589290776741,1.41174202394875,3265.20600089881
"45","C302SOLT","C302SOLT_Changins_B73_WT_root_5_97_1","Changins_B73_WT_root_5_97","Changins","B73","WT","root",5,97,"G11","HOT FIREPOL","Multi per target",1,1.94086406338939,0.999353726331851,0.382,26.7370040336275,1.89480187402226,0.9998339648982,0.4285,25.4216735222375,1.73986680043818,0.997911236264389,0.0405,27.7205856077949,1.41174202394875,2005.57426870148
"46","C302SOLT","C302SOLT_Changins_B73_WT_root_6_133_1","Changins_B73_WT_root_6_133","Changins","B73","WT","root",6,133,"A9","HOT FIREPOL","Multi per target",1,1.90543770036039,0.999963645432859,0.382,26.6798702994898,1.91779538830277,0.99955312514667,0.4285,25.2905595386111,1.83972395688171,0.995031993254667,0.0405,28.1932160431966,1.41174202394875,1642.60256130945
"47","C302SOLT","C302SOLT_Changins_B73_WT_root_7_146_1","Changins_B73_WT_root_7_146","Changins","B73","WT","root",7,146,"E11","HOT FIREPOL","Multi per target",1,1.90304312643922,0.999580241699129,0.382,27.1067768777449,1.90370328313074,0.999927216353868,0.4285,25.5965990170937,1.50335040260604,0.993577340971738,0.0405,26.7682377300624,1.41174202394875,3531.34765179864
"48","C302SOLT","C302SOLT_Changins_B73_WT_root_8_190_1","Changins_B73_WT_root_8_190","Changins","B73","WT","root",8,190,"K7","HOT FIREPOL","Multi per target",1,1.9265255627734,0.998733016206543,0.382,27.1115009274359,1.97147027135675,0.999015853315778,0.4285,25.8637811172098,1.72353418360971,0.987608742655403,0.0405,26.9353665500869,1.41174202394875,3343.71286974863
"49","C302SOLT","C302SOLT_Changins_B73_WT_root_9_194_1","Changins_B73_WT_root_9_194","Changins","B73","WT","root",9,194,"E9","HOT FIREPOL","Multi per target",1,1.86434002628057,0.999632956815931,0.382,27.1051492580888,1.90322193318473,0.999798380178429,0.4285,25.572719528627,1.62804206740343,0.999712617436055,0.0405,26.899615588304,1.41174202394875,3371.4149075809
"50","C302SOLT","C302SOLT_Reckenholz_B73_bx1_root_1_1.1_1","Reckenholz_B73_bx1_root_1_1.1","Reckenholz","B73","bx1","root",1,1.1,"A19","HOT FIREPOL","Multi per target",1,1.93832559159854,0.999414644050667,0.382,33.2697032120365,1.92174994170908,0.999705634299429,0.4285,32.1922689492952,1.68141294307285,0.97178096818883,0.0405,26.0390199926874,1.41174202394875,237246.503700591
"51","C302SOLT","C302SOLT_Reckenholz_B73_bx1_root_10_3.4_1","Reckenholz_B73_bx1_root_10_3.4","Reckenholz","B73","bx1","root",10,3.4,"G13","HOT FIREPOL","Multi per target",1,1.88426712209612,0.999861661628868,0.382,31.9277852552978,1.91796815312868,0.999876590048123,0.4285,30.612867534796,1.61215039647961,0.975456644474193,0.0405,23.9420999863198,1.41174202394875,206602.140394161
"52","C302SOLT","C302SOLT_Reckenholz_B73_bx1_root_12_10.4_1","Reckenholz_B73_bx1_root_12_10.4","Reckenholz","B73","bx1","root",12,10.4,"A21","HOT FIREPOL","Multi per target",1,1.86571220233496,0.999913572780416,0.382,32.9931507322956,1.92616207805245,0.999706269146224,0.4285,31.630491068578,1.32552158054247,0.988591925026398,0.0405,26.4243642215901,1.41174202394875,173939.094851551
"53","C302SOLT","C302SOLT_Reckenholz_B73_bx1_root_2_5.1_1","Reckenholz_B73_bx1_root_2_5.1","Reckenholz","B73","bx1","root",2,5.1,"I15","HOT FIREPOL","Multi per target",1,1.92774136108617,0.999662383556883,0.382,33.7032833397342,1.93719332201146,0.999680241225399,0.4285,31.3720199678858,1.53718636912365,0.998915647227636,0.0405,24.1416846028218,1.41174202394875,602845.743476638
