OTUId	R44_1193R_F67_799F	R45_1193R_F61_799F	R44_1193R_F71_799F	R44_1193R_F69_799F	R44_1193R_F63_799F	R44_1193R_F65_799F	R45_1193R_F63_799F	R45_1193R_F65_799F	R45_1193R_F67_799F	R43_1193R_F65_799F	R43_1193R_F63_799F	R43_1193R_F67_799F	R43_1193R_F69_799F	R43_1193R_F61_799F	R43_1193R_F71_799F	R44_1193R_F61_799F	R46_1193R_F63_799F	R46_1193R_F61_799F	R46_1193R_F65_799F	R45_1193R_F71_799F	R46_1193R_F67_799F	R45_1193R_F69_799F	R4_1193R_F20_799F	R4_1193R_F19_799F	R4_1193R_F21_799F	R4_1193R_F18_799F	R3_1193R_F35_799F	R3_1193R_F34_799F	R3_1193R_F33_799F	R3_1193R_F36_799F	R3_1193R_F37_799F	R3_1193R_F31_799F	R3_1193R_F32_799F	R3_1193R_F30_799F	R4_1193R_F17_799F	R3_1193R_F38_799F	R4_1193R_F27_799F	R4_1193R_F28_799F	R4_1193R_F29_799F	R4_1193R_F25_799F	R4_1193R_F26_799F	R4_1193R_F30_799F	R4_1193R_F31_799F	R4_1193R_F22_799F	R4_1193R_F23_799F	R4_1193R_F24_799F	R3_1193R_F21_799F	R3_1193R_F22_799F	R3_1193R_F19_799F	R3_1193R_F18_799F	R3_1193R_F17_799F	R3_1193R_F20_799F	R3_1193R_F27_799F	R3_1193R_F26_799F	R3_1193R_F28_799F	R3_1193R_F25_799F	R3_1193R_F29_799F	R3_1193R_F23_799F	R3_1193R_F24_799F	R41_1193R_F71_799F	R41_1193R_F69_799F	R42_1193R_F61_799F	R41_1193R_F67_799F	R41_1193R_F65_799F	R42_1193R_F71_799F	R42_1193R_F69_799F	R42_1193R_F67_799F	R42_1193R_F63_799F	R42_1193R_F65_799F	R40_1193R_F65_799F	R40_1193R_F63_799F	R40_1193R_F67_799F	R4_1193R_F34_799F	R4_1193R_F33_799F	R4_1193R_F35_799F	R4_1193R_F32_799F	R4_1193R_F36_799F	R40_1193R_F61_799F	R4_1193R_F37_799F	R4_1193R_F38_799F	R41_1193R_F61_799F	R41_1193R_F63_799F	R40_1193R_F71_799F	R40_1193R_F69_799F
OTU56	455	174	342	10	435	277	1207	382	1484	172	557	446	271	325	344	325	3442	108	479	1199	1476	190	79	102	1100	517	21	79	15	60	16	51	270	29	60	407	19	448	222	603	67	34	664	534	183	52	164	224	576	104	195	86	16	201	49	68	41	105	60	722	129	328	236	352	447	10	230	442	219	518	841	365	102	100	12	83	22	708	19	44	84	723	686	183
OTU194	261	114	7	4	27	165	26	11	5	31	65	36	99	840	93	40	2	8	125	66	56	162	27	104	19	2	36	0	33	4	31	5	1	14	24	3	30	5	6	5	28	32	0	12	12	73	222	182	4	33	3	51	25	3	72	31	90	121	85	152	146	29	161	40	18	9	197	15	1082	119	1	6	0	1	38	69	61	6	58	13	230	68	5	0
OTU196	72	311	23	4	58	68	50	152	92	36	47	26	93	187	33	65	56	115	276	138	243	193	11	42	37	36	11	1	23	8	4	9	4	42	13	11	13	13	19	9	12	83	11	32	33	28	115	215	24	3	8	52	3	8	8	6	15	147	48	58	24	39	46	29	45	3	61	30	103	113	13	77	5	0	5	32	8	70	3	1	30	37	81	19
OTU2043	2	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	7	0	1	0	0	0	0	0	0	0	3	0	0	1	1	4	1
OTU748	19	8	17	0	26	22	63	28	86	10	21	9	12	11	15	47	61	5	28	65	24	14	3	5	78	3	1	1	1	1	3	6	4	1	2	8	0	5	21	5	1	2	7	6	14	1	14	66	8	6	30	2	3	1	7	2	9	2	5	30	2	7	1	6	7	1	9	25	9	0	0	0	1	1	1	1	1	0	1	2	1	11	0	0
OTU49	848	362	111	21	64	231	565	72	419	132	917	155	3119	1312	737	81	130	35	485	2802	3283	4559	26	38	46	17	15	3	16	35	76	5	10	19	3	66	3	20	9	39	21	44	3	25	5	10	42	34	23	79	14	63	13	4	43	71	64	22	16	1434	4442	92	823	106	110	50	1826	87	1082	1065	75	1525	21	1	57	14	41	77	73	40	397	500	119	238
OTU1446	10	0	0	0	0	0	4	0	0	0	11	0	0	17	0	0	0	0	0	0	1	1	2	3	1	0	1	0	1	0	0	0	0	2	1	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	6	2	3	2	7	1	0	3	0	0	0	0	1	13	0	0	4	0	0	1	0	0	0	0	0	0	10	0	0
OTU155	198	51	13	1	19	63	237	13	121	37	313	4	457	99	131	8	138	8	138	928	725	1071	12	7	17	8	6	2	3	7	20	1	2	0	5	40	2	10	3	21	7	3	5	14	3	3	31	37	8	15	7	13	2	2	6	21	11	6	10	328	553	8	71	20	67	3	310	47	151	273	18	162	6	1	6	3	11	120	7	10	37	146	45	42
OTU612	17	30	1	0	2	19	6	3	11	2	5	1	10	81	5	0	1	1	59	19	11	127	9	11	10	4	5	1	2	2	9	3	2	9	6	8	3	1	2	5	14	16	1	6	2	12	134	130	7	37	7	28	17	1	51	37	21	16	7	13	10	0	7	2	6	0	10	1	20	8	0	12	0	0	9	7	27	0	11	22	6	17	1	1
OTU3500	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
OTU357	26	164	0	5	2	55	12	2	6	14	19	0	39	153	25	8	6	8	315	54	27	313	13	62	20	3	23	1	25	1	15	3	1	25	12	2	17	1	1	2	13	68	0	5	0	34	397	348	9	15	7	47	13	6	180	33	46	57	37	29	21	5	19	8	0	1	13	0	47	81	0	19	1	0	24	36	83	6	12	2	13	7	0	0
OTU485	32	11	10	0	0	6	62	3	14	3	28	12	8	110	4	3	9	5	20	42	104	14	9	11	4	8	1	1	2	1	20	3	1	1	2	7	5	3	1	14	10	3	6	7	1	2	5	2	6	7	0	12	7	1	12	11	26	18	6	59	22	7	17	2	7	3	45	9	45	41	18	32	0	0	21	10	3	19	22	2	25	20	18	3
OTU93	61	830	11	12	20	191	35	76	40	27	31	9	243	238	244	39	16	43	1863	395	136	1350	66	160	66	7	49	4	19	16	30	25	11	97	37	12	36	30	23	14	60	200	0	49	14	28	1579	1333	36	85	16	163	59	12	907	105	63	186	141	52	33	10	23	12	2	8	14	2	59	170	7	29	2	0	42	60	172	26	38	7	17	25	13	11
OTU388	75	161	84	2	282	125	156	132	317	137	114	68	158	29	208	220	132	93	376	260	179	96	22	42	229	27	3	6	6	2	0	4	22	6	27	11	8	26	59	28	23	22	29	59	37	14	61	97	70	26	28	13	3	9	5	8	10	19	15	73	22	36	22	52	107	1	71	94	56	103	71	39	6	6	3	14	6	65	2	8	21	124	196	20
OTU608	20	18	2	1	7	14	34	2	28	6	20	3	18	15	7	7	25	3	16	50	78	21	0	0	49	1	0	1	0	2	0	0	0	0	1	10	1	4	9	7	0	0	3	15	4	1	3	13	13	0	14	0	0	1	5	1	1	1	1	10	3	4	5	13	9	0	7	6	7	106	17	43	2	0	1	0	3	48	2	0	16	21	7	4
OTU217	355	1996	63	24	413	347	179	665	2979	185	82	246	1533	118	1400	361	32	56	311	3977	94	4453	2	0	45	0	2	2	2	1	2	1	0	0	0	11	0	0	32	2	2	8	2	3	9	0	21	24	5	4	45	3	1	0	4	6	0	7	0	220	417	26	92	161	130	11	132	36	78	41	18	33	3	0	1	2	13	25	1	1	37	116	61	22
OTU303	92	148	45	3	83	102	88	282	410	63	38	51	113	69	81	243	34	500	316	235	125	85	9	3	18	6	3	3	3	4	0	0	3	11	6	12	5	6	57	31	3	15	9	25	41	3	31	42	18	2	6	15	3	9	1	1	4	5	14	50	34	35	43	56	49	4	31	47	45	92	46	43	2	0	2	1	7	128	0	3	31	54	98	40
OTU231	205	4	5	0	32	2	1	6	64	37	5	1467	72	21	10	21	5	6	3	8	15	3	1	11	9	47	0	1	1	13	1	0	0	0	1	2	0	2	0	19	1	0	1	7	3	0	0	0	2	1	7	0	0	4	0	0	0	0	0	4	0	16	87	8	5	1	10	39	6	2	13	9	0	0	0	0	1	3	2	1	16	1	7	35
OTU999	33	12	4	1	0	5	10	1	1	1	43	1	40	77	30	0	0	0	14	62	41	188	1	1	0	1	0	0	2	1	0	1	0	3	0	2	0	0	0	0	0	0	1	0	0	0	2	3	1	3	0	5	1	0	2	0	1	0	0	42	154	1	15	8	0	1	23	0	16	5	0	37	0	0	5	1	0	0	1	1	7	2	1	0
OTU39	87	327	79	11	4283	247	166	5125	9102	2163	42	210	228	44	353	2229	1688	3078	541	700	238	113	14	8	1003	78	3	9	0	9	0	12	18	3	26	21	4	21	607	36	8	18	104	91	69	5	94	49	57	9	416	4	3	82	8	9	26	11	5	36	3	168	54	58	120	2	30	520	25	9	27	16	22	13	4	10	4	5	2	6	13	35	4	2
OTU247	82	0	21	0	0	8	54	2	1	0	83	2	72	23	17	15	5	1	15	134	124	3	4	8	4	1	3	1	5	0	10	0	2	0	0	13	1	2	1	3	19	0	2	1	0	0	3	0	1	3	0	12	2	1	0	9	5	1	2	164	206	1	3	6	60	2	103	13	57	68	0	60	2	1	2	8	1	6	8	9	15	39	0	26
OTU44	295	35	306	99	142	140	51	49	122	206	187	375	350	190	393	121	83	56	81	118	195	41	2	8	17	7	8	8	14	35	0	2	14	13	4	30	3	11	4	4	0	7	21	16	25	9	14	18	21	1	5	6	1	4	0	0	7	25	21	700	217	874	467	239	1891	702	2201	893	1018	30	34	59	24	1	1	19	22	36	8	3	190	334	77	35
OTU172	107	159	5	3	4	82	64	11	38	5	106	6	56	144	115	0	8	8	343	351	121	368	67	58	21	3	32	0	16	4	24	10	4	45	5	4	35	10	9	5	140	81	4	22	9	61	372	520	14	18	12	187	9	15	487	134	39	225	59	58	27	4	12	4	6	4	24	6	94	72	6	61	0	0	18	32	169	6	11	4	19	41	9	3
OTU2778	1	1	0	0	0	2	1	0	0	2	0	0	3	8	0	0	0	0	0	0	10	3	0	2	2	0	0	0	0	0	0	0	0	3	1	0	0	0	1	1	0	6	0	0	0	0	4	7	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2
OTU514	50	36	2	0	8	17	34	16	51	8	17	10	23	42	18	7	10	3	75	120	71	53	6	12	17	2	2	1	0	1	5	5	1	4	1	28	1	12	7	19	6	1	16	10	5	7	20	20	13	6	9	7	4	5	14	15	9	10	10	46	15	4	17	6	18	1	20	3	23	73	4	23	1	1	1	0	5	16	0	6	9	8	8	3
OTU129	198	1	2	1	4	0	197	6	5	0	255	1	1	191	16	0	3	3	17	154	819	2	1	7	3	1	3	0	4	0	4	0	1	0	1	4	1	0	0	1	1	0	1	0	0	4	1	4	0	10	0	9	2	0	0	7	14	5	2	199	242	1	45	0	4	2	239	2	200	165	2	148	0	0	5	9	1	0	23	19	39	79	0	3
OTU3271	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0
OTU1029	11	20	0	1	0	3	10	0	9	2	23	6	12	31	30	1	1	2	25	37	18	9	4	3	1	0	1	0	0	0	2	0	1	2	1	1	1	3	1	2	4	2	0	1	2	2	4	13	0	5	0	3	0	0	16	3	7	4	4	17	14	1	3	2	2	0	12	1	11	22	0	8	0	1	3	2	9	2	1	1	10	4	0	1
OTU2093	7	13	3	0	24	11	5	14	37	13	10	2	25	18	16	8	4	3	17	12	9	11	2	7	22	1	1	1	1	1	3	2	1	3	4	2	1	2	8	2	9	9	3	5	3	5	32	67	9	2	8	10	1	1	13	4	5	14	3	6	10	10	8	13	3	0	2	11	17	6	1	0	0	0	2	1	6	1	0	0	7	7	5	1
OTU309	93	36	11	4	7	9	226	30	49	2	141	35	166	77	31	3	18	3	16	341	111	445	6	6	4	5	0	1	4	0	3	0	2	0	0	7	1	0	0	4	0	0	1	1	5	0	1	3	1	15	0	1	3	1	1	10	4	2	2	250	413	7	102	24	22	5	142	9	72	56	0	53	1	0	1	1	1	2	4	4	49	107	19	13
OTU134	59	14	3	1	2	8	105	9	20	10	99	16	22	213	10	4	7	9	51	56	261	19	49	172	7	3	35	2	42	1	10	13	4	29	39	10	30	10	3	14	40	20	5	17	10	66	30	25	12	10	6	104	32	10	5	43	19	82	129	111	109	11	50	29	8	2	76	9	120	247	6	80	0	2	19	44	1	16	12	8	48	164	19	7
OTU2774	188	417	26	12	18	272	249	86	90	41	198	44	227	642	222	42	44	68	741	824	795	532	125	228	38	9	64	5	67	12	57	36	13	95	128	22	73	16	23	36	83	128	12	49	30	75	565	794	40	69	20	223	66	19	176	87	163	167	204	245	138	17	105	35	14	14	183	28	249	385	14	207	3	6	34	89	92	33	60	33	76	214	35	14
OTU602	22	9	1	0	0	13	3	1	2	3	13	0	4	78	2	4	0	0	11	11	102	1	5	13	2	2	0	0	8	2	4	0	1	14	1	4	3	1	3	4	8	12	2	2	11	20	8	24	3	7	0	3	24	3	0	5	43	22	9	51	2	0	14	0	6	0	23	2	16	22	1	19	1	0	7	18	18	0	2	2	14	6	2	0
OTU2073	15	10	0	3	0	4	0	0	3	1	10	1	3	12	7	5	0	0	27	0	10	24	4	0	2	0	2	0	1	0	3	0	2	2	0	1	0	1	0	0	1	0	0	0	1	0	12	21	1	10	0	7	2	0	8	9	0	6	2	11	3	1	1	1	0	0	6	0	4	14	0	0	0	0	1	0	3	0	0	0	2	6	0	0
OTU752	42	9	2	0	6	33	15	5	17	7	42	10	23	74	15	24	2	2	34	36	16	46	13	13	29	1	4	3	4	2	3	3	3	8	4	9	3	9	4	5	32	17	6	12	16	8	29	58	11	15	5	12	2	1	27	16	10	36	26	55	15	1	17	1	4	1	35	1	62	18	3	8	1	1	1	14	6	0	10	4	24	25	2	1
OTU341	173	184	33	6	100	254	103	123	309	46	99	94	229	203	193	240	175	103	221	615	387	178	25	31	133	25	6	5	8	10	10	4	8	26	15	34	3	21	110	37	30	57	54	48	124	9	182	206	43	25	36	43	4	21	62	12	32	54	22	123	54	36	72	63	67	5	85	47	61	134	82	63	9	4	5	16	33	81	12	9	45	84	112	12
OTU1140	10	26	2	3	6	79	43	20	11	5	9	3	25	57	7	16	2	7	65	26	23	36	1	3	5	0	3	0	3	0	0	4	1	3	4	0	6	0	0	0	1	9	0	7	2	7	102	51	0	1	0	3	2	0	1	1	12	9	5	7	8	0	1	10	0	3	9	4	12	5	0	6	0	0	1	29	1	6	0	2	3	20	3	2
OTU3956	26	15	1	2	16	2	58	1	27	0	29	7	87	24	21	0	7	1	19	81	43	57	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	2	1	1	77	222	0	43	33	66	5	57	16	34	14	5	22	1	0	0	0	0	1	0	0	19	35	1	0
OTU126	238	94	137	3	383	110	454	73	452	89	470	172	191	276	188	53	674	25	302	693	728	233	36	55	743	221	10	23	13	22	47	19	83	20	26	386	7	252	103	578	31	18	135	263	57	30	135	276	162	145	261	72	25	41	82	159	54	49	33	357	105	164	116	138	300	3	195	331	202	181	277	161	36	55	27	31	28	198	33	36	99	269	143	42
OTU2985	78	105	18	2	39	56	72	91	70	14	35	37	43	55	67	84	48	81	182	169	134	50	1	4	12	2	0	2	3	0	1	0	2	2	0	16	2	2	14	11	9	7	12	8	26	5	15	20	32	2	3	6	1	7	1	3	1	14	6	107	22	10	36	43	6	1	40	30	38	88	14	43	3	0	0	6	2	77	0	0	19	34	51	10
OTU459	30	151	4	2	6	45	12	8	11	4	19	0	36	29	42	8	0	4	214	145	47	117	13	15	8	1	7	3	4	1	3	7	2	16	4	2	5	5	9	8	14	72	1	13	0	9	215	240	3	20	5	22	3	1	36	7	8	42	20	15	6	2	10	1	0	1	6	0	12	26	1	10	0	0	4	4	14	4	1	1	2	11	2	1
OTU513	58	9	0	1	1	11	58	1	2	0	148	2	28	78	28	1	1	0	24	152	51	56	14	3	2	0	2	1	0	0	6	2	0	0	0	0	0	1	0	0	8	1	0	0	1	1	3	1	0	0	0	16	0	0	22	17	4	12	6	27	28	1	22	0	2	1	72	2	46	66	2	40	0	0	9	2	10	0	1	0	22	24	3	0
OTU116	200	91	82	10	178	181	162	349	707	135	68	178	143	151	152	561	361	212	143	289	480	66	9	22	71	37	7	13	4	16	0	5	12	16	10	43	11	32	93	88	6	11	72	89	239	2	30	22	79	3	6	12	7	44	3	5	11	43	14	128	21	70	64	85	119	7	44	106	56	84	78	51	12	6	4	11	4	131	0	4	52	83	363	61
OTU170	207	415	19	5	52	220	232	61	252	22	141	44	270	361	144	29	80	31	839	1215	816	580	14	7	107	14	4	1	4	5	12	7	7	9	2	38	3	33	32	46	8	7	18	33	30	5	27	43	22	29	49	13	8	5	37	29	21	10	12	146	96	51	82	43	11	9	126	46	178	223	13	253	3	3	5	8	10	51	4	3	71	271	50	25
OTU370	58	95	2	1	17	68	15	18	32	11	23	12	43	30	81	19	7	6	285	116	19	115	5	15	12	1	4	0	10	1	1	2	1	18	3	0	1	0	13	1	24	38	3	5	1	12	151	186	5	13	2	24	0	1	15	8	7	27	17	10	10	0	0	7	1	1	13	1	15	51	8	6	0	0	0	18	10	0	7	2	3	11	1	1
OTU628	61	0	85	0	1	0	46	2	93	1	30	48	102	15	2	0	11	0	0	22	36	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	158	84	12	96	52	364	3	66	21	7	31	76	31	1	1	0	0	0	9	1	0	7	13	51	21
OTU99	111	80	3	1	18	133	53	6	5	15	82	20	1202	54	252	20	0	1	70	423	134	662	0	0	6	0	0	1	0	2	3	0	0	0	0	2	0	0	0	0	0	1	1	1	1	0	0	5	0	1	2	2	0	0	4	4	1	0	0	94	331	0	14	0	3	3	200	3	39	52	6	66	0	0	1	1	5	2	2	6	17	71	9	12
OTU338	83	6	19	18	4	65	13	6	9	39	20	28	351	35	11	33	3	7	15	15	14	18	0	6	0	2	1	1	11	0	2	0	1	12	4	1	8	0	0	1	1	15	1	1	1	4	1	5	2	0	1	5	2	0	0	0	1	5	3	102	765	19	37	63	14	38	121	6	158	43	0	53	0	1	1	15	1	0	3	8	55	129	21	12
OTU2235	110	189	19	2	60	48	76	52	112	33	89	77	117	86	87	54	58	21	140	188	140	90	3	9	9	1	6	2	1	1	4	0	2	8	1	16	2	1	5	12	4	8	1	19	12	2	30	43	9	10	7	1	1	1	5	3	4	4	6	216	21	29	44	32	9	0	70	32	32	91	75	68	2	1	1	6	14	84	1	5	28	34	36	7
OTU494	35	10	20	0	129	25	47	21	112	30	80	48	48	16	11	30	104	3	17	86	61	11	3	6	151	25	1	7	1	2	1	1	3	6	5	84	0	25	31	67	2	1	18	46	9	3	27	18	37	3	53	2	1	8	4	12	6	6	1	71	10	24	12	48	82	0	19	61	15	14	50	10	11	7	1	2	1	24	2	3	10	88	39	8
OTU328	38	13	1	0	0	28	21	29	4	1	7	1	156	60	51	0	11	1	63	246	79	141	1	0	2	1	0	0	1	0	1	0	0	3	1	0	0	0	1	1	2	4	0	0	0	0	0	5	0	1	0	0	1	0	15	2	3	1	0	33	94	0	27	0	2	4	35	4	17	50	0	43	0	0	4	0	4	3	6	0	1	34	23	4
OTU188	159	142	54	5	273	251	296	84	484	91	235	146	187	163	195	124	317	59	375	613	391	212	14	17	974	85	12	22	9	17	26	19	43	18	18	130	6	74	122	245	17	13	88	127	40	25	158	407	126	177	253	39	21	30	81	52	39	37	31	146	73	70	49	63	109	1	99	142	81	79	100	78	18	25	18	11	19	63	17	9	34	274	63	9
OTU169	52	308	3	14	11	107	21	47	69	14	11	10	101	320	65	16	8	17	1029	255	80	1695	57	47	60	7	18	7	14	17	17	13	12	84	19	12	11	11	21	9	37	184	6	40	10	21	1107	1400	36	156	35	91	39	24	472	114	56	67	58	19	8	6	5	8	5	6	11	2	18	39	2	7	4	2	31	27	209	4	18	10	7	11	2	8
OTU1113	9	0	2	0	0	0	62	0	2	0	11	2	0	16	0	0	0	0	5	5	96	1	0	0	1	2	0	0	0	0	1	0	1	0	0	4	0	3	0	2	0	0	0	0	0	0	0	1	4	5	0	0	2	0	1	5	1	0	0	4	13	1	4	0	0	0	20	3	22	17	4	12	0	0	1	0	0	5	2	0	7	30	0	0
OTU402	21	6	16	51	33	12	5	4	4	72	42	60	275	33	122	9	1	3	5	15	7	20	0	1	0	0	0	0	1	1	0	0	2	0	2	3	0	0	0	0	0	1	0	1	0	1	5	2	2	0	0	0	1	0	0	0	0	2	4	21	64	15	13	7	50	120	48	29	24	3	2	0	1	0	0	1	0	0	0	0	1	17	3	11
OTU1325	23	15	0	0	1	22	8	1	1	0	11	0	26	9	15	0	0	1	43	33	0	64	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	3	0	0	0	0	32	0	2	0	0	0	19	0	13	0	0	1	0	0	0	1	0	0	0	1	9	9	9	0
OTU89	48	1413	16	28	27	333	39	107	927	48	4	27	1730	40	592	51	15	12	263	3580	80	6835	1	0	17	3	0	1	0	0	0	0	1	0	0	0	0	1	6	1	0	7	0	1	1	0	11	14	0	0	3	3	0	0	12	0	1	0	1	22	75	6	15	24	9	18	15	1	1	7	2	9	0	0	0	0	16	2	0	0	5	12	18	22
OTU210	139	88	23	1	13	37	234	43	66	4	51	6	628	216	102	0	52	15	40	475	359	114	1	1	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	1	1	0	3	1	5	12	0	6	0	1	2	0	0	7	1	0	1	214	61	1	64	38	4	1	87	8	25	26	1	34	2	0	0	1	1	6	0	3	36	60	120	34
OTU1151	13	0	0	0	0	0	9	0	0	0	10	0	0	35	0	0	0	0	0	4	35	4	5	3	0	0	1	0	0	0	5	1	0	1	1	0	2	1	0	1	18	1	0	2	2	3	1	4	0	0	0	9	0	0	0	7	0	6	4	3	4	0	3	0	2	1	4	0	21	22	1	11	0	0	0	5	3	2	0	0	3	8	1	0
OTU5	99	33	32	160	2	3	11	4	2	2	3	78	153	17	24	18	0	22	2	34	4	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	283	10	18	109	14	102	6	0	3	158	71	90	0	0	0	0	0	234	0	0	2469	15	144	40264
OTU289	30	60	1	8	5	21	54	17	8	8	48	8	15	260	18	15	14	10	186	49	71	269	101	269	28	14	74	5	44	6	87	29	7	47	44	14	46	32	9	39	117	36	11	25	22	66	168	161	33	267	11	206	164	23	76	142	215	182	218	73	37	12	36	8	7	4	30	4	67	119	2	37	3	3	110	69	38	18	100	53	15	31	8	6
OTU1162	12	4	19	0	4	1	27	0	56	5	23	16	2	16	3	3	49	5	4	11	75	4	1	4	27	9	0	2	0	2	2	1	3	0	2	59	0	32	4	66	1	1	8	22	9	2	4	2	30	1	11	1	0	2	1	7	1	4	3	24	5	36	14	10	82	0	29	33	10	26	25	21	1	4	1	0	0	40	0	2	3	12	45	4
OTU488	30	6	1	1	2	16	7	1	20	2	23	22	15	39	14	12	5	2	13	21	57	3	2	14	3	2	2	1	7	1	1	3	5	5	2	0	2	1	2	2	0	7	2	6	19	2	11	10	4	4	0	4	2	1	0	3	9	16	11	47	9	8	11	8	18	0	22	7	21	15	2	15	0	1	2	6	20	1	6	1	21	8	10	1
OTU72	131	460	19	14	17	479	56	199	855	84	52	11	1702	123	685	51	44	24	1228	2221	261	4055	7	6	92	5	7	3	3	3	5	2	5	3	2	19	2	2	24	11	6	17	2	8	6	1	74	142	7	28	57	2	1	3	33	8	6	3	9	138	220	5	12	52	17	8	95	12	31	38	5	56	0	2	1	3	45	12	3	4	15	50	60	15
OTU203	82	63	31	3	45	88	150	33	437	30	92	34	85	54	82	75	236	23	127	394	266	77	8	12	250	45	3	10	2	7	2	5	13	7	11	46	7	47	70	149	7	10	27	54	13	9	44	80	34	37	79	14	5	10	27	27	18	5	3	132	22	17	15	16	59	0	30	92	35	66	56	67	12	12	5	10	8	75	4	5	23	49	68	10
OTU1744	5	9	0	0	0	3	8	5	9	4	15	0	3	4	6	0	2	1	8	9	5	1	0	6	11	0	0	1	1	0	5	0	2	1	1	0	0	1	0	0	0	1	1	4	0	4	11	10	1	3	1	8	1	0	1	0	5	1	3	2	4	0	0	0	1	0	5	0	8	24	0	2	0	0	0	1	0	0	5	1	2	13	0	0
OTU211	76	40	17	2	193	67	108	124	567	461	93	130	86	27	73	96	1059	23	54	259	122	61	13	10	362	71	1	7	3	11	4	3	50	4	16	45	4	35	108	169	11	8	67	59	22	7	52	66	40	46	65	12	2	59	7	16	7	12	12	114	18	80	43	1143	428	3	23	77	31	11	942	6	7	13	2	10	6	13	5	7	20	109	29	7
OTU1171	13	12	20	0	6	21	40	12	30	35	12	7	43	20	8	18	16	9	31	65	69	28	1	2	0	1	2	1	0	0	1	0	0	5	1	0	1	0	1	2	0	1	0	1	0	3	5	2	0	2	0	1	0	2	1	1	55	3	2	14	21	5	8	19	5	1	12	14	14	25	6	14	0	0	0	1	2	27	3	2	18	27	32	10
OTU1229	10	3	0	0	0	9	6	2	0	0	2	0	16	15	0	7	1	1	16	24	27	10	8	22	4	7	1	1	5	9	0	0	2	2	3	0	6	1	6	6	7	17	0	102	12	3	14	18	8	1	1	57	1	0	1	2	8	13	23	2	3	1	1	2	0	0	4	0	11	2	0	8	3	0	0	8	6	1	4	1	3	2	6	0
OTU2575	9	6	0	0	1	0	5	0	0	0	17	0	2	2	4	0	4	0	9	3	4	5	0	0	0	4	0	0	0	1	3	0	1	0	0	5	0	1	2	2	0	0	5	7	0	0	5	1	2	1	3	6	0	0	2	5	1	0	2	2	0	2	1	0	24	0	4	4	3	3	0	0	0	0	1	1	1	0	1	0	1	4	0	0
OTU77	226	160	48	8	128	143	105	307	640	281	99	188	212	102	110	404	185	168	230	365	293	148	9	56	16	27	3	3	4	5	0	3	3	18	2	18	7	5	30	20	4	12	25	58	117	7	28	15	21	1	1	27	1	4	4	8	4	31	34	184	42	104	54	179	103	4	31	59	57	148	115	88	6	0	1	21	7	232	3	1	49	56	202	50
OTU1769	3	0	0	0	0	1	4	0	1	0	14	1	0	1	0	0	3	0	3	0	16	1	1	3	0	3	0	0	1	0	0	0	0	0	0	0	2	0	0	4	0	0	1	1	2	1	0	4	3	1	0	1	0	0	0	0	1	0	1	3	6	2	2	0	2	0	4	4	6	5	0	4	0	1	1	0	0	0	0	1	4	2	0	1
OTU239	45	37	13	1	31	20	89	14	137	11	94	16	49	42	26	10	79	9	55	107	280	15	0	1	60	8	0	1	0	3	6	1	5	1	0	12	1	24	11	28	0	0	7	25	11	1	6	6	19	2	10	1	1	0	4	3	3	1	2	67	35	32	38	19	32	1	80	46	44	78	36	140	2	0	1	0	0	44	1	1	28	110	52	2
OTU19	114	20	407	3	280	30	173	225	751	257	147	852	407	79	41	216	3275	50	32	112	216	13	38	89	707	704	12	96	29	132	3	100	510	13	37	1109	23	338	188	548	63	18	2048	1117	528	25	114	105	939	52	121	45	14	698	26	62	34	71	31	201	27	727	294	773	1175	4	51	965	49	84	1062	35	135	265	15	44	14	439	2	60	33	121	665	143
